term,coef,se,t_stat,p,rel_year,coef_pp,ci_lo_pp,ci_hi_pp,period,pooled
ry_pool_pre,-0.0348981002883923,0.00420456362900741,-8.30005283964055,0.000000342821305427948,-8,-3.48981002883923,-4.31390450012468,-2.66571555755378,Pre,1
ry_m7,-0.0296022856897597,0.00323367471522948,-9.15437955164237,0.0000000925465488709949,-7,-2.96022856897597,-3.59402881316095,-2.32642832479099,Pre,0
ry_m6,-0.0233601651000457,0.00277466417013486,-8.41909639064908,0.00000028414957043271,-6,-2.33601651000457,-2.879850687351,-1.79218233265814,Pre,0
ry_m5,-0.0200102772529703,0.00201774059982415,-9.91717035119094,0.0000000308348648085861,-5,-2.00102772529703,-2.39650488286256,-1.6055505677315,Pre,0
ry_m4,-0.0109169718311781,0.00223013060613514,-4.89521636138496,0.000161764221626891,-4,-1.09169718311781,-1.5288027819203,-0.654591584315322,Pre,0
ry_m3,-0.00857023990254164,0.00146455130685199,-5.85178536418988,0.0000245465348802331,-3,-0.857023990254164,-1.14407604639715,-0.569971934111173,Pre,0
ry_m2,-0.00539361552101425,0.00137905109578881,-3.91110636689582,0.00124431844231434,-2,-0.539361552101425,-0.809655566876031,-0.269067537326819,Pre,0
ref_year,0,0,0,,-1,0,0,0,Ref,0
ry_0,0.00191550181443524,0.0016781002644441,1.14147042046369,0.270470869509598,0,0.191550181443524,-0.13735747038752,0.520457833274568,Post,0
ry_1,-0.00496517675437922,0.00166327321368963,-2.98518410175379,0.00874556763249865,1,-0.496517675437922,-0.822519225321089,-0.170516125554754,Post,0
ry_2,-0.000895105259017244,0.00157792335246976,-0.5672678952474,0.578405114740118,2,-0.0895105259017244,-0.398783502985798,0.219762451182349,Post,0
ry_3,-0.00461068408734454,0.00165793342581242,-2.78098264716825,0.0133548072391103,3,-0.461068408734454,-0.786023360193688,-0.13611345727522,Post,0
ry_4,0.0119437328491723,0.00216930255855822,5.50579392535749,0.0000479089751284988,4,1.19437328491723,0.769189983439819,1.61955658639464,Post,0
ry_5,0.00196198536923013,0.00283730573393906,0.69149593072097,0.499165597651042,5,0.196198536923013,-0.359913386929042,0.752310460775068,Post,0
ry_6,0.00978555260190019,0.00298380173502378,3.27955858696564,0.00471812164209834,6,0.978555260190019,0.393730120125359,1.56338040025468,Post,0
ry_7,0.00888145747312768,0.00212470519164983,4.18008931687659,0.000707348538949386,7,0.888145747312768,0.471703529749401,1.30458796487614,Post,0
ry_8,0.00886004649982943,0.00536266690860267,1.65217169942372,0.117985396191274,8,0.886004649982943,-0.165078064103181,1.93708736406907,Post,0
ry_9,0.00405974079834367,0.00460679060079538,0.881251428628584,0.391228054936862,9,0.405974079834367,-0.496956877921529,1.30890503759026,Post,0
ry_10,0.0120627983172949,0.00304682365273491,3.95913898937571,0.00112464464261145,10,1.20627983172949,0.609102395793448,1.80345726766553,Post,0
ry_11,0.0155232441885213,0.00354788216964675,4.37535505584924,0.000470733669566588,11,1.55232441885213,0.856939513601364,2.24770932410289,Post,0
ry_12,0.00503440851678052,0.00386987393123007,1.30092313244434,0.211709143617438,12,0.503440851678052,-0.255054438843042,1.26193614219914,Post,0
ry_13,-0.000831916198142215,0.00393250483923659,-0.211548677535439,0.835130280812534,13,-0.0831916198142215,-0.853962568304592,0.687579328676149,Post,0
ry_14,0.0054955348292687,0.00564449405916816,0.973609817224006,0.344740927487216,14,0.54955348292687,-0.556767352670089,1.65587431852383,Post,0
ry_pool_post,0.00964570090002479,0.00507191359282932,1.90178730837645,0.075360435824989,15,0.964570090002479,-0.0295249741920673,1.95866515419702,Post,1
