sample,kappa_exit,K,gamma_price,gamma_risk
observed,26.1221601742371,5.17792785476942,-0.293198988986457,0.164375128094434
extended,25.8149619837731,5.17056098044287,-1.14112956213816,0.176422078933732
extended_minus_preTX2006,26.077730572416,5.18381701944583,-0.413471173274486,0.165656554252306
