sample,V2
Full active,0.0179977087411276
Full active,0.00263720433056722
Full active,0.0128287882532158
Full active,0.0231666292290393
Full active,0.2
Full active,0.005
Pre-1989,0.0241915986857653
Pre-1989,0.00369463712713987
Pre-1989,0.0169501099165711
Pre-1989,0.0314330874549594
Pre-1989,0.2
Pre-1989,0.005
Post-1988,0.00576168779496246
Post-1988,0.001926936276569
Post-1988,0.00198489269288722
Post-1988,0.0095384828970377
Post-1988,0.1
Post-1988,0.005
