Model,Estimate,SE,t_stat,p_value,N_obs
Simple DiD,0.0194,0.0112,1.731,0.1026,130425
+ Age Control,0.0263,0.0108,2.427,0.0274,130043
Age HTE,0.0294,0.0115,2.554,0.0212,130043
