Model,Estimate,SE,t_stat,p_value,N_obs
Main (no mandate),-0.0073,0.0083,-0.88,0.3913,319961
Main + mandate,-0.0073,0.0083,-0.885,0.3884,319777
Youngest,0.0194,0.0112,1.731,0.1026,130425
Youngest + mandate,0.0194,0.0112,1.731,0.1026,130425
