window,sa_beta,sa_se,sa_p,sa_stars,ind_beta,ind_se,ind_p,ind_stars,n
Primary (0-60d),-0.007151,0.002513,0.0112,**,-0.005043,0.00178,0.0115,**,2614051
Narrow (0-30d),-0.007783,0.002592,0.008,***,-0.004331,0.001514,0.0108,**,2614051
Wide (0-90d),-0.006838,0.002491,0.0138,**,-0.005422,0.001949,0.0128,**,2614051
Regulatory (0-45d),-0.007427,0.002546,0.0096,***,-0.004732,0.001646,0.0105,**,2614051
