Outcome,Coefficient,SE,N_Cells,t_stat,p_val,CI_Lower,CI_Upper
LUST,-0.000154467488384653,0.000275601296942191,90,-0.560474461109133,0.576613085041995,-0.000694646030391347,0.000385711053622042
Exit,-0.00082421756590102,0.00139144931805134,90,-0.592344654748401,0.555174056354993,-0.00355145822928165,0.00190302309747961
Retrofit,-0.000274060341789012,0.000260276475449293,90,-1.05295855615044,0.295309492540722,-0.000784202233669626,0.000236081550091603
