make_model_tank,n_tx,n_ctl,n_total,has_both
Double-Walled_Diesel-Only_25k-Plus_1990,0,19,19,0
Double-Walled_Other-Fuel_25k-Plus_1993,5,14,19,1
Unknown-Wall_Gasoline-Only_Under-1k_1995,0,19,19,0
Unknown-Wall_Gasoline-Only_25k-Plus_1997,0,19,19,0
Unknown-Wall_Motor-Fuel-Mixed_Under-1k_1990,0,19,19,0
Unknown-Wall_Other-Fuel_25k-Plus_1995,0,18,18,0
Unknown-Wall_Gasoline-Only_25k-Plus_1993,0,18,18,0
Double-Walled_Motor-Fuel-Mixed_1k-5k_1997,0,17,17,0
Double-Walled_Gasoline-Only_25k-Plus_1994,5,12,17,1
Unknown-Wall_Diesel-Only_25k-Plus_1989,0,17,17,0
Single-Walled_Gasoline-Only_25k-Plus_1996,1,16,17,1
Unknown-Wall_Diesel-Only_25k-Plus_1994,0,17,17,0
Unknown-Wall_Gasoline-Only_Under-1k_1994,0,17,17,0
Unknown-Wall_Other-Fuel_25k-Plus_1997,0,17,17,0
Single-Walled_Diesel-Only_25k-Plus_1995,2,14,16,1
Unknown-Wall_Gasoline-Only_Under-1k_1997,0,16,16,0
Single-Walled_Diesel-Only_25k-Plus_1997,0,16,16,0
Double-Walled_Motor-Fuel-Mixed_1k-5k_1996,0,15,15,0
Double-Walled_Other-Fuel_25k-Plus_1995,1,14,15,1
Double-Walled_Other-Fuel_25k-Plus_1989,0,15,15,0
Double-Walled_Gasoline-Only_Under-1k_1995,0,15,15,0
Unknown-Wall_Other-Fuel_25k-Plus_1990,0,15,15,0
Unknown-Wall_Other-Fuel_25k-Plus_1993,0,15,15,0
Single-Walled_Motor-Fuel-Mixed_12k-25k_1989,0,14,14,0
Unknown-Wall_Motor-Fuel-Mixed_Under-1k_1993,0,14,14,0
Unknown-Wall_Other-Fuel_25k-Plus_1992,0,14,14,0
Single-Walled_Motor-Fuel-Mixed_1k-5k_1994,2,11,13,1
Double-Walled_Other-Fuel_25k-Plus_1991,1,12,13,1
Unknown-Wall_Diesel-Only_25k-Plus_1991,0,13,13,0
Double-Walled_Motor-Fuel-Mixed_25k-Plus_1997,1,11,12,1
Double-Walled_Motor-Fuel-Mixed_1k-5k_1992,1,11,12,1
Double-Walled_Motor-Fuel-Mixed_1k-5k_1991,1,11,12,1
Double-Walled_Gasoline-Only_25k-Plus_1990,0,12,12,0
Double-Walled_Motor-Fuel-Mixed_12k-25k_1990,0,12,12,0
Unknown-Wall_Other-Fuel_25k-Plus_1989,0,12,12,0
Unknown-Wall_Motor-Fuel-Mixed_Under-1k_1995,0,12,12,0
Single-Walled_Diesel-Only_25k-Plus_1991,2,9,11,1
Single-Walled_Other-Fuel_25k-Plus_1989,0,11,11,0
Single-Walled_Other-Fuel_25k-Plus_1991,4,7,11,1
Single-Walled_Other-Fuel_25k-Plus_1995,4,7,11,1
Single-Walled_Diesel-Only_25k-Plus_1989,1,10,11,1
Unknown-Wall_Gasoline-Only_Under-1k_1996,0,11,11,0
Double-Walled_Diesel-Only_25k-Plus_1989,0,11,11,0
Single-Walled_Motor-Fuel-Mixed_1k-5k_1991,0,10,10,0
Double-Walled_Diesel-Only_25k-Plus_1991,0,10,10,0
Single-Walled_Motor-Fuel-Mixed_1k-5k_1995,0,10,10,0
Single-Walled_Gasoline-Only_25k-Plus_1995,3,7,10,1
Unknown-Wall_Diesel-Only_25k-Plus_1996,0,10,10,0
Unknown-Wall_Diesel-Only_25k-Plus_1997,0,10,10,0
Unknown-Wall_Diesel-Only_25k-Plus_1992,0,10,10,0
Unknown-Wall_Gasoline-Only_25k-Plus_1996,0,10,10,0
Unknown-Wall_Other-Fuel_25k-Plus_1994,0,10,10,0
Double-Walled_Gasoline-Only_25k-Plus_1996,2,7,9,1
Single-Walled_Gasoline-Only_25k-Plus_1997,3,6,9,1
Single-Walled_Gasoline-Only_25k-Plus_1990,0,9,9,0
Single-Walled_Gasoline-Only_25k-Plus_1993,0,9,9,0
Unknown-Wall_Motor-Fuel-Mixed_Under-1k_1994,0,9,9,0
Double-Walled_Motor-Fuel-Mixed_1k-5k_1993,0,8,8,0
Double-Walled_Motor-Fuel-Mixed_12k-25k_1989,0,8,8,0
Single-Walled_Other-Fuel_25k-Plus_1990,0,8,8,0
Unknown-Wall_Diesel-Only_25k-Plus_1995,0,8,8,0
Unknown-Wall_Diesel-Only_25k-Plus_1993,0,8,8,0
Double-Walled_Gasoline-Only_25k-Plus_1989,0,8,8,0
Unknown-Wall_Other-Fuel_25k-Plus_1996,0,8,8,0
Double-Walled_Motor-Fuel-Mixed_1k-5k_1995,1,6,7,1
Single-Walled_Motor-Fuel-Mixed_1k-5k_1997,1,6,7,1
Double-Walled_Motor-Fuel-Mixed_1k-5k_1994,0,6,6,0
Double-Walled_Gasoline-Only_25k-Plus_1992,0,6,6,0
Double-Walled_Motor-Fuel-Mixed_5k-12k_1989,0,6,6,0
Single-Walled_Gasoline-Only_25k-Plus_1989,0,6,6,0
Double-Walled_Motor-Fuel-Mixed_1k-5k_1990,0,5,5,0
Single-Walled_Motor-Fuel-Mixed_1k-5k_1990,0,5,5,0
Single-Walled_Gasoline-Only_25k-Plus_1991,2,3,5,1
Single-Walled_Motor-Fuel-Mixed_1k-5k_1993,2,3,5,1
Single-Walled_Diesel-Only_25k-Plus_1994,0,5,5,0
Single-Walled_Gasoline-Only_25k-Plus_1994,2,3,5,1
Single-Walled_Motor-Fuel-Mixed_1k-5k_1996,1,4,5,1
Double-Walled_Gasoline-Only_25k-Plus_1993,0,5,5,0
Single-Walled_Diesel-Only_25k-Plus_1992,0,5,5,0
Single-Walled_Motor-Fuel-Mixed_25k-Plus_1997,3,1,4,1
Double-Walled_Gasoline-Only_25k-Plus_1995,0,4,4,0
Double-Walled_Gasoline-Only_25k-Plus_1991,0,4,4,0
Single-Walled_Motor-Fuel-Mixed_1k-5k_1989,0,4,4,0
Single-Walled_Motor-Fuel-Mixed_25k-Plus_1992,4,0,4,0
Single-Walled_Other-Fuel_25k-Plus_1997,1,3,4,1
Single-Walled_Diesel-Only_25k-Plus_1993,0,4,4,0
Single-Walled_Gasoline-Only_25k-Plus_1992,1,3,4,1
Unknown-Wall_Motor-Fuel-Mixed_25k-Plus_1995,0,4,4,0
Unknown-Wall_Motor-Fuel-Mixed_25k-Plus_1990,0,4,4,0
Single-Walled_Other-Fuel_25k-Plus_1996,0,3,3,0
Single-Walled_Motor-Fuel-Mixed_1k-5k_1992,1,2,3,1
Unknown-Wall_Motor-Fuel-Mixed_Under-1k_1996,0,3,3,0
Unknown-Wall_Motor-Fuel-Mixed_Under-1k_1997,0,3,3,0
Double-Walled_Motor-Fuel-Mixed_25k-Plus_1993,0,2,2,0
Single-Walled_Motor-Fuel-Mixed_25k-Plus_1996,2,0,2,0
Double-Walled_Motor-Fuel-Mixed_1k-5k_1989,0,2,2,0
Unknown-Wall_Motor-Fuel-Mixed_25k-Plus_1992,0,2,2,0
Single-Walled_Motor-Fuel-Mixed_25k-Plus_1995,1,0,1,0
Double-Walled_Motor-Fuel-Mixed_Under-1k_1992,0,1,1,0
Single-Walled_Other-Fuel_25k-Plus_1994,1,0,1,0
Single-Walled_Motor-Fuel-Mixed_25k-Plus_1993,1,0,1,0
Single-Walled_Other-Fuel_25k-Plus_1992,1,0,1,0
Single-Walled_Motor-Fuel-Mixed_25k-Plus_1994,1,0,1,0
Unknown-Wall_Motor-Fuel-Mixed_25k-Plus_1991,0,1,1,0
Unknown-Wall_Motor-Fuel-Mixed_25k-Plus_1994,0,1,1,0
Unknown-Wall_Motor-Fuel-Mixed_25k-Plus_1997,0,1,1,0
Double-Walled_Motor-Fuel-Mixed_25k-Plus_1992,0,1,1,0
Double-Walled_Motor-Fuel-Mixed_Under-1k_1997,0,1,1,0
