Model,Estimate,Std_Error,t_stat,p_value_conv,p_value_webb,CI_low_webb,CI_high_webb,N_obs
Headline (no MD),-0.0052,0.0057,-0.907,0.3758,,,,3862756
Spec A (no MD),-0.0025,0.0052,-0.479,0.6375,,,,991840
