label,sample,n_pre_coefs,F_stat,p_val
AnyClosure,sec2_ref_minus2,10,13.343,0
FacilityExit,sec2_ref_minus2,10,55.756,0
Upgrade,sec2_ref_minus2,10,19.129,0
Shrink,sec2_ref_minus2,10,21.459,0
LUSTTotal,sec2_ref_minus2,10,260.157,0
LUSTBackground,sec2_ref_minus2,10,162.412,0
