margin,dimension,level,is_reference,estimate,std_error,p_value
closure_share,cap_G,G1_lt9k,TRUE,0.0632408903051136,0.00535597693471261,1.28809791916133e-09
closure_share,cap_G,G2_9to20k,FALSE,-0.0478008865309663,0.00108945914740536,6.17412137633958e-19
closure_share,cap_G,G3_20to30k,FALSE,-0.0606825665640625,0.0015616412823773,4.77296708586341e-18
closure_share,cap_G,G4_gt30k,FALSE,-0.0561495686606154,0.00217609297407563,4.49360562213494e-15
facility_exit,cap_G,G1_lt9k,TRUE,0.0658338815046507,0.00525200864504878,5.14840645185588e-10
facility_exit,cap_G,G2_9to20k,FALSE,-0.0516195683523424,0.000940095988004413,1.39819441330336e-20
facility_exit,cap_G,G3_20to30k,FALSE,-0.0684004688398145,0.00139517996093564,9.48876155724437e-20
facility_exit,cap_G,G4_gt30k,FALSE,-0.0676525979216763,0.00192277853747983,2.53169078135399e-17
downsize,cap_G,G1_lt9k,TRUE,-0.00496326650860734,0.000890365238823092,3.35638075142086e-05
downsize,cap_G,G2_9to20k,FALSE,0.00323706276397409,0.000191661233356879,4.64715974003727e-12
downsize,cap_G,G3_20to30k,FALSE,0.00981559593316593,0.00019205160955802,4.69876219678633e-20
downsize,cap_G,G4_gt30k,FALSE,0.0150672702130429,0.000343170995293588,6.10287213615536e-19
consolidate,cap_G,G1_lt9k,TRUE,0.000108608163407046,0.00029823727123741,0.720223294686056
consolidate,cap_G,G2_9to20k,FALSE,-0.000112487076120718,4.60481645049638e-05,0.0257873773655602
consolidate,cap_G,G3_20to30k,FALSE,-0.00118968992250231,4.35155595471974e-05,1.7182136261327e-15
consolidate,cap_G,G4_gt30k,FALSE,-0.000474920447456835,9.32046983824696e-05,8.97835456030657e-05
reconfigure_up,cap_G,G1_lt9k,TRUE,0.00195884638885806,0.000275253591405972,1.72828110561099e-06
reconfigure_up,cap_G,G2_9to20k,FALSE,6.82999242787642e-05,0.000109043866711115,0.539403801085994
reconfigure_up,cap_G,G3_20to30k,FALSE,-0.000763113121614972,9.31363006665332e-05,2.63206906322399e-07
reconfigure_up,cap_G,G4_gt30k,FALSE,-0.000806409237720565,9.99069783813867e-05,3.23224885222557e-07
repl_share,cap_G,G1_lt9k,TRUE,-0.00144380341134146,0.000479496946104523,0.00786660617991686
repl_share,cap_G,G2_9to20k,FALSE,0.00221212032948995,0.000186499318185763,1.20188063492526e-09
repl_share,cap_G,G3_20to30k,FALSE,0.00533322146663194,0.000199131123112019,2.41973911022029e-15
repl_share,cap_G,G4_gt30k,FALSE,0.00842369657189782,0.000249468602501084,5.04791781440357e-17
cap_decrease,cap_G,G1_lt9k,TRUE,0.0613973082154966,0.00512118007019969,1.02057930646321e-09
cap_decrease,cap_G,G2_9to20k,FALSE,-0.0488452424962825,0.00106459942469384,2.90540257631342e-19
cap_decrease,cap_G,G3_20to30k,FALSE,-0.0601074287867449,0.00148592475990932,2.42755285525863e-18
cap_decrease,cap_G,G4_gt30k,FALSE,-0.0534584461876041,0.00213332684982291,7.30163836273184e-15
