margin,cap_bin,did_effect,se,p
closure_share,G1_lt9k,0.0632408903051136,0.00535597693471261,1.28809791916133e-09
closure_share,x G2_9to20k,-0.0478008865309663,0.00108945914740536,6.17412137633958e-19
closure_share,x G3_20to30k,-0.0606825665640625,0.0015616412823773,4.77296708586341e-18
closure_share,x G4_gt30k,-0.0561495686606154,0.00217609297407563,4.49360562213494e-15
facility_exit,G1_lt9k,0.0658338815046507,0.00525200864504878,5.14840645185588e-10
facility_exit,x G2_9to20k,-0.0516195683523424,0.000940095988004413,1.39819441330336e-20
facility_exit,x G3_20to30k,-0.0684004688398145,0.00139517996093564,9.48876155724437e-20
facility_exit,x G4_gt30k,-0.0676525979216763,0.00192277853747983,2.53169078135399e-17
downsize,G1_lt9k,-0.00302285564268927,0.00203100697388885,0.154973344898794
downsize,x G2_9to20k,0.00604865777471179,0.000262732129537159,2.96654678437297e-14
downsize,x G3_20to30k,0.0109680681825007,0.000271826787681097,2.53265293128084e-18
downsize,x G4_gt30k,0.0150901045377395,0.000426296664022222,2.28745876736053e-17
repl_share,G1_lt9k,-0.00144380341134146,0.000479496946104523,0.00786660617991686
repl_share,x G2_9to20k,0.00221212032948995,0.000186499318185763,1.20188063492526e-09
repl_share,x G3_20to30k,0.00533322146663194,0.000199131123112019,2.41973911022029e-15
repl_share,x G4_gt30k,0.00842369657189782,0.000249468602501084,5.04791781440357e-17
cap_decrease,G1_lt9k,0.0613973082154966,0.00512118007019969,1.02057930646321e-09
cap_decrease,x G2_9to20k,-0.0488452424962825,0.00106459942469384,2.90540257631342e-19
cap_decrease,x G3_20to30k,-0.0601074287867449,0.00148592475990932,2.42755285525863e-18
cap_decrease,x G4_gt30k,-0.0534584461876041,0.00213332684982291,7.30163836273184e-15
