model,k_params,n_obs,log_lik,AIC,BIC,LR_vs_nested,df_LR,pvalue_LR
4-param,4,2282735,-268481.410656612,536970.821313224,537021.384852598,,,
8-param,8,2282735,-261770.297039599,523556.594079198,523657.721157946,13422.227234026,4,0
"8-param + FE (M-only, joint)",25,2282735,-251613.265334467,503276.530668934,503592.55279002,20314.063410264,17,0
"8-param + FE (stay, profile)",25,2282735,-252364.73608011,504779.47216022,505095.494281306,18811.1219189782,17,0
