treat_group,period,n_fy,rate_total,rate_standalone,rate_induced,rate_known,rate_clean_closure,pct_standalone,pct_induced
CTL,Post,1692790,0.0166831089503128,0.0116570868211651,0.0051689813857596,0.00561617211821904,0.0167723108005128,69.9,31
CTL,Pre,1235681,0.0259516817042586,0.0168603385501598,0.00962141523580924,0.00567865007230831,0.0704316081577689,65,37.1
TX,Post,347310,0.00200685266764562,0.00199245630704558,0.0000143963606000403,0.00399642970257119,0.0288647030030808,99.3,0.7
TX,Pre,297768,0.0126978050025523,0.0124593643373365,0.000261948899814621,0.00662260551839016,0.0952923081056393,98.1,2.1
