Model,Coefficient,SE,P_Value,P_Label,N,R2
LUST (All),-0.00465062013859749,0.00126764751448877,0.00175694240130611,0.0018***,6034224,0.0567340122451427
Exit (All),0.02269891698966,0.00398665115408781,0.0000212288995438839,0.0000***,6034224,0.114688888433732
Strategic Exit,0.0246667674325432,0.00353718016536298,0.00000163423397991798,0.0000***,6034224,0.114918173309262
Responsive Exit,-0.00196785044287251,0.00103039759511807,0.0722275135530978,0.0722*,6034224,0.0683604184313377
