Model,beta,se,p
Make-Model Full,-0.0072717960593579,0.00826610913207585,0.391281585038232
Youngest,0.0194416485585768,0.0112284247435213,0.102601212948087
Oldest,-0.00455197930928504,0.010277245260491,0.663409262100025
Leak (Main),0.00741205019400119,0.00612469690971415,0.242764685180306
Leak (Youngest),0.0270625758753381,0.009708111487191,0.0131732521628985
Leak (Oldest),-0.000738417126775949,0.00528539632367538,0.890531816153584
