panel_id,is_gas
ID1-280001_ID,1
ID1-280002_ID,0
ID1-280003_ID,1
ID1-280004_ID,1
ID1-280005_ID,1
ID1-280006_ID,1
ID1-280007_ID,0
ID1-280008_ID,1
ID1-280009_ID,1
ID1-280010_ID,1
ID1-280011_ID,1
ID1-280012_ID,1
ID1-280013_ID,0
ID1-280014_ID,1
ID1-280016_ID,1
ID1-280017_ID,1
ID1-280019_ID,1
ID1-280020_ID,1
ID1-280021_ID,1
ID1-280022_ID,1
ID1-280023_ID,1
ID1-280024_ID,1
ID1-280025_ID,1
ID1-280028_ID,1
ID1-280029_ID,1
ID1-280030_ID,1
ID1-280031_ID,1
ID1-280032_ID,1
ID1-280033_ID,1
ID1-280035_ID,1
ID1-280036_ID,1
ID1-280037_ID,1
ID1-280038_ID,1
ID1-280039_ID,1
ID1-280040_ID,0
ID1-280041_ID,1
ID1-280042_ID,1
ID1-280043_ID,1
ID1-280044_ID,1
ID1-280045_ID,1
ID1-280046_ID,1
ID1-280047_ID,1
ID1-280048_ID,1
ID1-280050_ID,1
ID1-280052_ID,1
ID1-280053_ID,1
ID1-280055_ID,0
ID1-280056_ID,1
ID1-280058_ID,1
ID1-280060_ID,1
ID1-280061_ID,1
ID1-280062_ID,1
ID1-280064_ID,1
ID1-280065_ID,1
ID1-280066_ID,1
ID1-280067_ID,1
ID1-280068_ID,1
ID1-280069_ID,1
ID1-280070_ID,1
ID1-280071_ID,1
ID1-280072_ID,1
ID1-280073_ID,1
ID1-280075_ID,1
ID1-280076_ID,1
ID1-280077_ID,1
ID1-280078_ID,1
ID1-280079_ID,1
ID1-280080_ID,1
ID1-280081_ID,0
ID1-280082_ID,1
ID1-280083_ID,1
ID1-280084_ID,1
ID1-280085_ID,1
ID1-280086_ID,0
ID1-280087_ID,0
ID1-280088_ID,1
ID1-280089_ID,1
ID1-280090_ID,1
ID1-280091_ID,1
ID1-280092_ID,0
ID1-280093_ID,0
ID1-280094_ID,1
ID1-280095_ID,1
ID1-280096_ID,1
ID1-280097_ID,1
ID1-280098_ID,0
ID1-280099_ID,1
ID1-280100_ID,1
ID1-280101_ID,0
ID1-280103_ID,0
ID1-280104_ID,1
ID1-280105_ID,1
ID1-280106_ID,1
ID1-280107_ID,1
ID1-280108_ID,1
ID1-280109_ID,1
ID1-280110_ID,1
ID1-280111_ID,1
ID1-280112_ID,0
ID1-280113_ID,1
ID1-280114_ID,1
ID1-280115_ID,1
ID1-280116_ID,0
ID1-280117_ID,1
ID1-280118_ID,1
ID1-280120_ID,0
ID1-280121_ID,1
ID1-280122_ID,1
ID1-280123_ID,0
ID1-280124_ID,0
ID1-280126_ID,1
ID1-280127_ID,1
ID1-280129_ID,0
ID1-280130_ID,1
ID1-280131_ID,0
ID1-280132_ID,0
ID1-280133_ID,1
ID1-280134_ID,0
ID1-280135_ID,1
ID1-280136_ID,1
ID1-280137_ID,0
ID1-280138_ID,1
ID1-280139_ID,1
ID1-280141_ID,1
ID1-280142_ID,1
ID1-280144_ID,0
ID1-280145_ID,0
ID1-280146_ID,0
ID1-280148_ID,1
ID1-280150_ID,1
ID1-280151_ID,0
ID1-280152_ID,0
ID1-280153_ID,0
ID1-280155_ID,1
ID1-280157_ID,1
ID1-280160_ID,1
ID1-280161_ID,1
ID1-280162_ID,1
ID1-280163_ID,1
ID1-280164_ID,1
ID1-280165_ID,1
ID1-280166_ID,1
ID1-280167_ID,1
ID1-280169_ID,1
ID1-280170_ID,1
ID1-280171_ID,1
ID1-280172_ID,1
ID1-280173_ID,0
ID1-280174_ID,0
ID1-280175_ID,1
ID1-280176_ID,1
ID1-280177_ID,0
ID1-280178_ID,1
ID1-280179_ID,1
ID1-280180_ID,1
ID1-280181_ID,0
ID1-280183_ID,0
ID1-280184_ID,1
ID1-280185_ID,1
ID1-280188_ID,1
ID1-280189_ID,1
ID1-280190_ID,0
ID1-280191_ID,1
ID1-280192_ID,0
ID1-280193_ID,1
ID1-280194_ID,1
ID1-280195_ID,1
ID1-280196_ID,1
ID1-280197_ID,1
ID1-280198_ID,1
ID1-280199_ID,1
ID1-280200_ID,1
ID1-280201_ID,1
ID1-280202_ID,1
ID1-280203_ID,1
ID1-280206_ID,1
ID1-280207_ID,0
ID1-280208_ID,1
ID1-280209_ID,1
ID1-280210_ID,1
ID1-280211_ID,1
ID1-280212_ID,0
ID1-280213_ID,0
ID1-280214_ID,1
ID1-280215_ID,1
ID1-280217_ID,1
ID1-280218_ID,1
ID1-280219_ID,1
ID1-280220_ID,1
ID1-280221_ID,1
ID1-280222_ID,1
ID1-280224_ID,1
ID1-280226_ID,1
ID1-280227_ID,0
ID1-280230_ID,0
ID1-280600_ID,1
ID1-280601_ID,1
ID1-280602_ID,1
ID1-280603_ID,0
ID1-280604_ID,1
ID1-280605_ID,1
ID1-280607_ID,1
ID1-280609_ID,0
ID1-280610_ID,1
ID1-280612_ID,1
ID1-280613_ID,1
ID1-280614_ID,1
ID1-280615_ID,1
ID1-280618_ID,1
ID1-280619_ID,1
ID1-280620_ID,1
ID1-280621_ID,1
ID1-280622_ID,1
ID1-280623_ID,0
ID1-280624_ID,1
ID1-280626_ID,1
ID1-280627_ID,1
ID1-280629_ID,1
ID1-280630_ID,1
ID1-280631_ID,0
ID1-280632_ID,1
ID1-280633_ID,1
ID1-280634_ID,1
ID1-280635_ID,0
ID1-280636_ID,0
ID1-280637_ID,1
ID1-280638_ID,1
ID1-280639_ID,1
ID1-280640_ID,1
ID1-280642_ID,1
ID1-280646_ID,1
ID1-280647_ID,1
ID1-280648_ID,1
ID1-280649_ID,1
ID1-280650_ID,1
ID1-280651_ID,0
ID1-280652_ID,1
ID1-280654_ID,0
ID1-280655_ID,1
ID1-280656_ID,1
ID1-280657_ID,0
ID1-280658_ID,1
ID1-280659_ID,1
ID1-280660_ID,0
ID1-280661_ID,1
ID1-280662_ID,1
ID1-280663_ID,0
ID1-280664_ID,1
ID1-280665_ID,1
ID1-280666_ID,1
ID1-280667_ID,0
ID1-280669_ID,1
ID1-280670_ID,1
ID1-280672_ID,1
ID1-280673_ID,1
ID1-280674_ID,1
ID1-280675_ID,0
ID1-280676_ID,1
ID1-280677_ID,1
ID1-280678_ID,0
ID1-280680_ID,1
ID1-280681_ID,1
ID1-280682_ID,1
ID1-280683_ID,1
ID1-280684_ID,1
ID1-280685_ID,0
ID1-280686_ID,0
ID1-280688_ID,1
ID1-280689_ID,1
ID1-280690_ID,1
ID1-280691_ID,1
ID1-280692_ID,0
ID1-280693_ID,1
ID1-280694_ID,0
ID1-280695_ID,1
ID1-280696_ID,1
ID1-280697_ID,1
ID1-280698_ID,1
ID1-280699_ID,1
ID1-280700_ID,1
ID1-280701_ID,1
ID1-280702_ID,1
ID1-280703_ID,1
ID1-280704_ID,1
ID1-280705_ID,1
ID1-280706_ID,1
ID1-280707_ID,0
ID1-280708_ID,1
ID1-280709_ID,1
ID1-280710_ID,0
ID1-280711_ID,0
ID1-280712_ID,1
