Scenario,Converged,Avg_Close_Prob,Exp_Leak_Risk,Exp_External_Dam,Firm_Surplus,Real_Surplus,Social_Welfare,Govt_Cost,Close_SW,Close_DW,Close_Young,Close_Old,Close_SW_RB,Close_SW_FF,Close_DW_RB,Close_DW_FF,Delta_Close_pp,Delta_Risk_pct,Delta_Social_W,Avoided_Leaks,Cost_Per_Avoided_Leak
baseline,TRUE,0.0514379570024735,0.179282229839289,0.259959233261047,31.9579809449789,31.9579809449789,26.7587962797579,0,0.0534383027274116,0.0495833369467725,0.0487600574957732,0.0514379570025406,0.0553630134973978,0.0512400611461163,0.0503003682844854,0.0488040801084036,0,0,0,0,
social,TRUE,0.372861154836512,0.116207915727411,0.165524522372331,29.9814667705052,29.9814667705052,26.6709763230586,0,0.407610429629013,0.340643373106189,0.323889336186106,0.37492576444105,0.407695975969499,0.407512725846338,0.34153193509012,0.339677699828224,32.1423197834039,-35.181576092856,-0.0878199566993736,0.0630743141118783,
subsidy,TRUE,0.0784391821851279,0.174169138890758,0.25254525138572,32.535580153956,31.535580153956,26.4846751262416,1,0.0807877188865005,0.0762617369497297,0.0749401419592837,0.0784391821852225,0.0830356308977791,0.0782203442287899,0.0771118845007505,0.0753378117906585,2.70012251826544,-2.85197866688402,-0.274121153516301,0.00511309094853049,195.576415531471
mandate,TRUE,0.134196615722575,0.153986612404634,0.208744148729157,31.4003964217177,31.4003964217177,27.2255134471345,0,0.22545832837559,0.0495833408802235,0.0842184276106878,0.11293725457202,0.225636680723981,0.225254629433147,0.0503003718091683,0.0488040844860965,8.27586587201012,-14.10938354422,0.466717167376594,0.0252956174346553,
